[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
[ODOdata] ODO-X: 0.000000, ODO-Y: 0.000000, ODO-S: 0.000000, ODO-Ang: 0.000000
